yourlist:M201705058A530B6CA0138AFAA6D2B97CE8C2A924D0C2A2K	Entry	Entry name	Protein names	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Organism
Q9UVF8	Q9UVF8	THI4_UROFA	Thiamine thiazole synthase (Planta-induced protein 4) (Thiazole biosynthetic enzyme)	THI2 PIG4	THI2	PIG4			Uromyces fabae (Rust fungus)
Q9UUZ9	Q9UUZ9	THI4_ASPOR	Thiamine thiazole synthase (Pyrithiamine resistance protein) (Thiazole biosynthetic enzyme)	thiA ptrA AO090003000090	thiA	ptrA		AO090003000090	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)
Q9UUG5	Q9UUG5	MLR1_SCHPO	Myosin regulatory light chain 1	rlc1 SPAC926.03	rlc1			SPAC926.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q9UUB4	Q9UUB4	PUR7_SCHPO	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	ade7 SPBC409.10	ade7			SPBC409.10	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q9UTR4	Q9UTR4	ETD1_SCHPO	Septation protein etd1	etd1 SPAC1006.08	etd1			SPAC1006.08	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q9UTL2	Q9UTL2	KLP8_SCHPO	Kinesin-like protein 8	klp8 SPAC144.14	klp8			SPAC144.14	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q9USX1	Q9USX1	APE1_SCHPO	Aminopeptidase 1 (EC 3.4.11.-) (Aminopeptidase I)	ape1 SPBC1921.05	ape1			SPBC1921.05	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q9USU1	Q9USU1	EFC25_SCHPO	Ras guanine nucleotide exchange factor efc25 (Exchange factor cdc25p-like protein)	efc25 SPBC336.03	efc25			SPBC336.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q9USQ4	Q9USQ4	SIM3_SCHPO	NASP-related protein sim3 (CENP-A escort protein sim3) (Silencing in the middle of the centromere protein 3)	sim3 SPBC577.15c	sim3			SPBC577.15c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q9US08	Q9US08	SPO3_SCHPO	Sporulation-specific protein 3	spo3 SPAC607.10	spo3			SPAC607.10	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q9URY2	Q9URY2	ALP7_SCHPO	Microtubule protein alp7 (Altered polarity protein 7) (Transforming acidic coiled-coil protein mia1) (TACC protein mia1)	alp7 mia1 SPAC890.02c	alp7	mia1		SPAC890.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q9UR66	Q9UR66	NDK_CANAX	Nucleoside diphosphate kinase (NDK) (NDP kinase) (NDPK) (EC 2.7.4.6) (Fragment)	NDK1	NDK1				Candida albicans (Yeast)
Q9UQY9	Q9UQY9	SPO4_SCHPO	Cell cycle protein kinase spo4 (EC 2.7.11.1) (Sporulation-specific protein 4)	spo4 SPBC21C3.18	spo4			SPBC21C3.18	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q9UQV4	Q9UQV4	LAMP3_HUMAN	Lysosome-associated membrane glycoprotein 3 (LAMP-3) (Lysosomal-associated membrane protein 3) (DC-lysosome-associated membrane glycoprotein) (DC LAMP) (Protein TSC403) (CD antigen CD208)	LAMP3 DCLAMP TSC403	LAMP3	DCLAMP TSC403			Homo sapiens (Human)
Q9UQQ2	Q9UQQ2	SH2B3_HUMAN	SH2B adapter protein 3 (Lymphocyte adapter protein) (Lymphocyte-specific adapter protein Lnk) (Signal transduction protein Lnk)	SH2B3 LNK	SH2B3	LNK			Homo sapiens (Human)
Q9UQN3	Q9UQN3	CHM2B_HUMAN	Charged multivesicular body protein 2b (CHMP2.5) (Chromatin-modifying protein 2b) (CHMP2b) (Vacuolar protein sorting-associated protein 2-2) (Vps2-2) (hVps2-2)	CHMP2B CGI-84	CHMP2B			CGI-84	Homo sapiens (Human)
Q9UQM7	Q9UQM7	KCC2A_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17)	CAMK2A CAMKA KIAA0968	CAMK2A	CAMKA KIAA0968			Homo sapiens (Human)
Q9UQL6	Q9UQL6	HDAC5_HUMAN	Histone deacetylase 5 (HD5) (EC 3.5.1.98) (Antigen NY-CO-9)	HDAC5 KIAA0600	HDAC5	KIAA0600			Homo sapiens (Human)
Q9UQF2	Q9UQF2	JIP1_HUMAN	C-Jun-amino-terminal kinase-interacting protein 1 (JIP-1) (JNK-interacting protein 1) (Islet-brain 1) (IB-1) (JNK MAP kinase scaffold protein 1) (Mitogen-activated protein kinase 8-interacting protein 1)	MAPK8IP1 IB1 JIP1 PRKM8IP	MAPK8IP1	IB1 JIP1 PRKM8IP			Homo sapiens (Human)
Q9UQF0	Q9UQF0	SYCY1_HUMAN	Syncytin-1 (Endogenous retrovirus group W member 1) (Env-W) (Envelope polyprotein gPr73) (Enverin) (HERV-7q Envelope protein) (HERV-W envelope protein) (HERV-W_7q21.2 provirus ancestral Env polyprotein) (Syncytin) [Cleaved into: Surface protein (SU) (gp50); Transmembrane protein (TM) (gp24)]	ERVW-1 ERVWE1	ERVW-1	ERVWE1			Homo sapiens (Human)
Q9UQE7	Q9UQE7	SMC3_HUMAN	Structural maintenance of chromosomes protein 3 (SMC protein 3) (SMC-3) (Basement membrane-associated chondroitin proteoglycan) (Bamacan) (Chondroitin sulfate proteoglycan 6) (Chromosome-associated polypeptide) (hCAP)	SMC3 BAM BMH CSPG6 SMC3L1	SMC3	BAM BMH CSPG6 SMC3L1			Homo sapiens (Human)
Q9UQC2	Q9UQC2	GAB2_HUMAN	GRB2-associated-binding protein 2 (GRB2-associated binder 2) (Growth factor receptor bound protein 2-associated protein 2) (pp100)	GAB2 KIAA0571	GAB2	KIAA0571			Homo sapiens (Human)
Q9UQB8	Q9UQB8	BAIP2_HUMAN	Brain-specific angiogenesis inhibitor 1-associated protein 2 (BAI-associated protein 2) (BAI1-associated protein 2) (Protein BAP2) (Fas ligand-associated factor 3) (FLAF3) (Insulin receptor substrate p53/p58) (IRS-58) (IRSp53/58) (Insulin receptor substrate protein of 53 kDa) (IRSp53) (Insulin receptor substrate p53)	BAIAP2	BAIAP2				Homo sapiens (Human)
Q9UQ90	Q9UQ90	SPG7_HUMAN	Paraplegin (EC 3.4.24.-) (Spastic paraplegia 7 protein)	SPG7 CAR PGN	SPG7	CAR PGN			Homo sapiens (Human)
Q9UQ84	Q9UQ84	EXO1_HUMAN	Exonuclease 1 (hExo1) (EC 3.1.-.-) (Exonuclease I) (hExoI)	EXO1 EXOI HEX1	EXO1	EXOI HEX1			Homo sapiens (Human)
Q9UQ49	Q9UQ49	NEUR3_HUMAN	Sialidase-3 (EC 3.2.1.18) (Ganglioside sialidase) (Membrane sialidase) (N-acetyl-alpha-neuraminidase 3)	NEU3	NEU3				Homo sapiens (Human)
Q9UQ26	Q9UQ26	RIMS2_HUMAN	Regulating synaptic membrane exocytosis protein 2 (Rab-3-interacting molecule 2) (RIM 2) (Rab-3-interacting protein 3)	RIMS2 KIAA0751 RAB3IP3 RIM2	RIMS2	KIAA0751 RAB3IP3 RIM2			Homo sapiens (Human)
Q9UQ13	Q9UQ13	SHOC2_HUMAN	Leucine-rich repeat protein SHOC-2 (Protein soc-2 homolog) (Protein sur-8 homolog)	SHOC2 KIAA0862	SHOC2	KIAA0862			Homo sapiens (Human)
Q9UQ07	Q9UQ07	MOK_HUMAN	MAPK/MAK/MRK overlapping kinase (EC 2.7.11.22) (MOK protein kinase) (Renal tumor antigen 1) (RAGE-1)	MOK RAGE RAGE1	MOK	RAGE RAGE1			Homo sapiens (Human)
Q9UPY8	Q9UPY8	MARE3_HUMAN	Microtubule-associated protein RP/EB family member 3 (EB1 protein family member 3) (EBF3) (End-binding protein 3) (EB3) (RP3)	MAPRE3	MAPRE3				Homo sapiens (Human)
Q9UPY6	Q9UPY6	WASF3_HUMAN	Wiskott-Aldrich syndrome protein family member 3 (WASP family protein member 3) (Protein WAVE-3) (Verprolin homology domain-containing protein 3)	WASF3 KIAA0900 SCAR3 WAVE3	WASF3	KIAA0900 SCAR3 WAVE3			Homo sapiens (Human)
Q9UPY3	Q9UPY3	DICER_HUMAN	Endoribonuclease Dicer (EC 3.1.26.3) (Helicase with RNase motif) (Helicase MOI)	DICER1 DICER HERNA KIAA0928	DICER1	DICER HERNA KIAA0928			Homo sapiens (Human)
Q9UPX8	Q9UPX8	SHAN2_HUMAN	SH3 and multiple ankyrin repeat domains protein 2 (Shank2) (Cortactin-binding protein 1) (CortBP1) (Proline-rich synapse-associated protein 1)	SHANK2 CORTBP1 KIAA1022 PROSAP1	SHANK2	CORTBP1 KIAA1022 PROSAP1			Homo sapiens (Human)
Q9UPW8	Q9UPW8	UN13A_HUMAN	Protein unc-13 homolog A (Munc13-1)	UNC13A KIAA1032	UNC13A	KIAA1032			Homo sapiens (Human)
Q9UPW6	Q9UPW6	SATB2_HUMAN	DNA-binding protein SATB2 (Special AT-rich sequence-binding protein 2)	SATB2 KIAA1034	SATB2	KIAA1034			Homo sapiens (Human)
Q9UPW5	Q9UPW5	CBPC1_HUMAN	Cytosolic carboxypeptidase 1 (EC 3.4.17.-) (ATP/GTP-binding protein 1) (Nervous system nuclear protein induced by axotomy protein 1 homolog)	AGTPBP1 CCP1 KIAA1035 NNA1	AGTPBP1	CCP1 KIAA1035 NNA1			Homo sapiens (Human)
Q9UPV0	Q9UPV0	CE164_HUMAN	Centrosomal protein of 164 kDa (Cep164)	CEP164 KIAA1052 NPHP15	CEP164	KIAA1052 NPHP15			Homo sapiens (Human)
Q9UPU5	Q9UPU5	UBP24_HUMAN	Ubiquitin carboxyl-terminal hydrolase 24 (EC 3.4.19.12) (Deubiquitinating enzyme 24) (Ubiquitin thioesterase 24) (Ubiquitin-specific-processing protease 24)	USP24 KIAA1057	USP24	KIAA1057			Homo sapiens (Human)
Q9UPT5	Q9UPT5	EXOC7_HUMAN	Exocyst complex component 7 (Exocyst complex component Exo70)	EXOC7 EXO70 KIAA1067	EXOC7	EXO70 KIAA1067			Homo sapiens (Human)
Q9UPR0	Q9UPR0	PLCL2_HUMAN	Inactive phospholipase C-like protein 2 (PLC-L(2)) (PLC-L2) (Phospholipase C-L2) (Phospholipase C-epsilon-2) (PLC-epsilon-2)	PLCL2 KIAA1092 PLCE2	PLCL2	KIAA1092 PLCE2			Homo sapiens (Human)
Q9UPQ9	Q9UPQ9	TNR6B_HUMAN	Trinucleotide repeat-containing gene 6B protein	TNRC6B KIAA1093	TNRC6B	KIAA1093			Homo sapiens (Human)
Q9UPQ7	Q9UPQ7	PZRN3_HUMAN	E3 ubiquitin-protein ligase PDZRN3 (EC 2.3.2.27) (Ligand of Numb protein X 3) (PDZ domain-containing RING finger protein 3) (RING-type E3 ubiquitin transferase PDZRN3) (Semaphorin cytoplasmic domain-associated protein 3) (Protein SEMACAP3)	PDZRN3 KIAA1095 LNX3 SEMCAP3	PDZRN3	KIAA1095 LNX3 SEMCAP3			Homo sapiens (Human)
Q9UPQ3	Q9UPQ3	AGAP1_HUMAN	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 (AGAP-1) (Centaurin-gamma-2) (Cnt-g2) (GTP-binding and GTPase-activating protein 1) (GGAP1)	AGAP1 CENTG2 KIAA1099	AGAP1	CENTG2 KIAA1099			Homo sapiens (Human)
Q9UPN9	Q9UPN9	TRI33_HUMAN	E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (RET-fused gene 7 protein) (Protein Rfg7) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33)	TRIM33 KIAA1113 RFG7 TIF1G	TRIM33	KIAA1113 RFG7 TIF1G			Homo sapiens (Human)
Q9UPN3	Q9UPN3	MACF1_HUMAN	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)	MACF1 ABP620 ACF7 KIAA0465 KIAA1251	MACF1	ABP620 ACF7 KIAA0465 KIAA1251			Homo sapiens (Human)
Q9UPM8	Q9UPM8	AP4E1_HUMAN	AP-4 complex subunit epsilon-1 (AP-4 adaptor complex subunit epsilon) (Adaptor-related protein complex 4 subunit epsilon-1) (Epsilon subunit of AP-4) (Epsilon-adaptin)	AP4E1	AP4E1				Homo sapiens (Human)
Q9UPI3	Q9UPI3	FLVC2_HUMAN	Feline leukemia virus subgroup C receptor-related protein 2 (Calcium-chelate transporter) (CCT)	FLVCR2 C14orf58	FLVCR2	C14orf58			Homo sapiens (Human)
Q9UPG8	Q9UPG8	PLAL2_HUMAN	Zinc finger protein PLAGL2 (Pleiomorphic adenoma-like protein 2)	PLAGL2 KIAA0198	PLAGL2	KIAA0198			Homo sapiens (Human)
Q9UP79	Q9UP79	ATS8_HUMAN	A disintegrin and metalloproteinase with thrombospondin motifs 8 (ADAM-TS 8) (ADAM-TS8) (ADAMTS-8) (EC 3.4.24.-) (METH-2) (METH-8)	ADAMTS8 METH2	ADAMTS8	METH2			Homo sapiens (Human)
Q9UP38	Q9UP38	FZD1_HUMAN	Frizzled-1 (Fz-1) (hFz1) (FzE1)	FZD1	FZD1				Homo sapiens (Human)
Q9UNX4	Q9UNX4	WDR3_HUMAN	WD repeat-containing protein 3	WDR3	WDR3				Homo sapiens (Human)
Q9UNW8	Q9UNW8	GP132_HUMAN	Probable G-protein coupled receptor 132 (G2 accumulation protein)	GPR132 G2A	GPR132	G2A			Homo sapiens (Human)
Q9UNW1	Q9UNW1	MINP1_HUMAN	Multiple inositol polyphosphate phosphatase 1 (EC 3.1.3.62) (2,3-bisphosphoglycerate 3-phosphatase) (2,3-BPG phosphatase) (EC 3.1.3.80) (Inositol (1,3,4,5)-tetrakisphosphate 3-phosphatase) (Ins(1,3,4,5)P(4) 3-phosphatase)	MINPP1 MIPP UNQ900/PRO1917	MINPP1	MIPP		UNQ900/PRO1917	Homo sapiens (Human)
Q9UNN8	Q9UNN8	EPCR_HUMAN	Endothelial protein C receptor (Activated protein C receptor) (APC receptor) (Endothelial cell protein C receptor) (CD antigen CD201)	PROCR EPCR	PROCR	EPCR			Homo sapiens (Human)
Q9UNN5	Q9UNN5	FAF1_HUMAN	FAS-associated factor 1 (hFAF1) (UBX domain-containing protein 12) (UBX domain-containing protein 3A)	FAF1 UBXD12 UBXN3A CGI-03	FAF1	UBXD12 UBXN3A		CGI-03	Homo sapiens (Human)
Q9UNN4	Q9UNN4	TF2AY_HUMAN	TFIIA-alpha and beta-like factor (General transcription factor II A, 1-like factor)	GTF2A1L ALF GTF2A1LF	GTF2A1L	ALF GTF2A1LF			Homo sapiens (Human)
Q9UNL4	Q9UNL4	ING4_HUMAN	Inhibitor of growth protein 4 (p29ING4)	ING4 My036	ING4			My036	Homo sapiens (Human)
Q9UNL2	Q9UNL2	SSRG_HUMAN	Translocon-associated protein subunit gamma (TRAP-gamma) (Signal sequence receptor subunit gamma) (SSR-gamma)	SSR3 TRAPG	SSR3	TRAPG			Homo sapiens (Human)
Q9UNK4	Q9UNK4	PA2GD_HUMAN	Group IID secretory phospholipase A2 (GIID sPLA2) (sPLA2-IID) (EC 3.1.1.4) (PLA2IID) (Phosphatidylcholine 2-acylhydrolase 2D) (Secretory-type PLA, stroma-associated homolog)	PLA2G2D SPLASH	PLA2G2D	SPLASH			Homo sapiens (Human)
Q9UNK0	Q9UNK0	STX8_HUMAN	Syntaxin-8	STX8	STX8				Homo sapiens (Human)
Q9UNH7	Q9UNH7	SNX6_HUMAN	Sorting nexin-6 (TRAF4-associated factor 2) [Cleaved into: Sorting nexin-6, N-terminally processed]	SNX6	SNX6				Homo sapiens (Human)
Q9UNG2	Q9UNG2	TNF18_HUMAN	Tumor necrosis factor ligand superfamily member 18 (Activation-inducible TNF-related ligand) (AITRL) (Glucocorticoid-induced TNF-related ligand) (hGITRL)	TNFSF18 AITRL GITRL TL6 UNQ149/PRO175	TNFSF18	AITRL GITRL TL6		UNQ149/PRO175	Homo sapiens (Human)
Q9UNF0	Q9UNF0	PACN2_HUMAN	Protein kinase C and casein kinase substrate in neurons protein 2 (Syndapin-2) (Syndapin-II)	PACSIN2	PACSIN2				Homo sapiens (Human)
Q9UNE7	Q9UNE7	CHIP_HUMAN	E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (Antigen NY-CO-7) (CLL-associated antigen KW-8) (Carboxy terminus of Hsp70-interacting protein) (RING-type E3 ubiquitin transferase CHIP) (STIP1 homology and U box-containing protein 1)	STUB1 CHIP PP1131	STUB1	CHIP		PP1131	Homo sapiens (Human)
Q9UNE0	Q9UNE0	EDAR_HUMAN	Tumor necrosis factor receptor superfamily member EDAR (Anhidrotic ectodysplasin receptor 1) (Downless homolog) (EDA-A1 receptor) (Ectodermal dysplasia receptor) (Ectodysplasin-A receptor)	EDAR DL	EDAR	DL			Homo sapiens (Human)
Q9UNA1	Q9UNA1	RHG26_HUMAN	Rho GTPase-activating protein 26 (GTPase regulator associated with focal adhesion kinase) (Oligophrenin-1-like protein) (Rho-type GTPase-activating protein 26)	ARHGAP26 GRAF KIAA0621 OPHN1L	ARHGAP26	GRAF KIAA0621 OPHN1L			Homo sapiens (Human)
Q9UNA0	Q9UNA0	ATS5_HUMAN	A disintegrin and metalloproteinase with thrombospondin motifs 5 (ADAM-TS 5) (ADAM-TS5) (ADAMTS-5) (EC 3.4.24.-) (A disintegrin and metalloproteinase with thrombospondin motifs 11) (ADAM-TS 11) (ADAMTS-11) (ADMP-2) (Aggrecanase-2)	ADAMTS5 ADAMTS11 ADMP2	ADAMTS5	ADAMTS11 ADMP2			Homo sapiens (Human)
Q9UN86	Q9UN86	G3BP2_HUMAN	Ras GTPase-activating protein-binding protein 2 (G3BP-2) (GAP SH3 domain-binding protein 2)	G3BP2 KIAA0660	G3BP2	KIAA0660			Homo sapiens (Human)
Q9UN81	Q9UN81	LORF1_HUMAN	LINE-1 retrotransposable element ORF1 protein (L1ORF1p) (LINE retrotransposable element 1) (LINE1 retrotransposable element 1)	L1RE1 LRE1	L1RE1	LRE1			Homo sapiens (Human)
Q9UN79	Q9UN79	SOX13_HUMAN	Transcription factor SOX-13 (Islet cell antigen 12) (SRY (Sex determining region Y)-box 13) (Type 1 diabetes autoantigen ICA12)	SOX13	SOX13				Homo sapiens (Human)
Q9UN75	Q9UN75	PCDAC_HUMAN	Protocadherin alpha-12 (PCDH-alpha-12)	PCDHA12	PCDHA12				Homo sapiens (Human)
Q9UN74	Q9UN74	PCDA4_HUMAN	Protocadherin alpha-4 (PCDH-alpha-4)	PCDHA4	PCDHA4				Homo sapiens (Human)
Q9UN73	Q9UN73	PCDA6_HUMAN	Protocadherin alpha-6 (PCDH-alpha-6)	PCDHA6 CNRS2	PCDHA6	CNRS2			Homo sapiens (Human)
Q9UN72	Q9UN72	PCDA7_HUMAN	Protocadherin alpha-7 (PCDH-alpha-7)	PCDHA7 CNRS4	PCDHA7	CNRS4			Homo sapiens (Human)
Q9UN70	Q9UN70	PCDGK_HUMAN	Protocadherin gamma-C3 (PCDH-gamma-C3) (Protocadherin-2) (Protocadherin-43) (PC-43)	PCDHGC3 PCDH2	PCDHGC3	PCDH2			Homo sapiens (Human)
Q9UN67	Q9UN67	PCDBA_HUMAN	Protocadherin beta-10 (PCDH-beta-10)	PCDHB10 UNQ1906/PRO4352	PCDHB10			UNQ1906/PRO4352	Homo sapiens (Human)
Q9UN66	Q9UN66	PCDB8_HUMAN	Protocadherin beta-8 (PCDH-beta-8) (Protocadherin-3I)	PCDHB8 PCDH3I	PCDHB8	PCDH3I			Homo sapiens (Human)
Q9UN37	Q9UN37	VPS4A_HUMAN	Vacuolar protein sorting-associated protein 4A (EC 3.6.4.6) (Protein SKD2) (VPS4-1) (hVPS4)	VPS4A VPS4	VPS4A	VPS4			Homo sapiens (Human)
Q9UN36	Q9UN36	NDRG2_HUMAN	Protein NDRG2 (N-myc downstream-regulated gene 2 protein) (Protein Syld709613)	NDRG2 KIAA1248 SYLD	NDRG2	KIAA1248 SYLD			Homo sapiens (Human)
Q9UN19	Q9UN19	DAPP1_HUMAN	Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide (hDAPP1) (B lymphocyte adapter protein Bam32) (B-cell adapter molecule of 32 kDa)	DAPP1 BAM32 HSPC066	DAPP1	BAM32		HSPC066	Homo sapiens (Human)
Q9UMX9	Q9UMX9	S45A2_HUMAN	Membrane-associated transporter protein (Melanoma antigen AIM1) (Protein AIM-1) (Solute carrier family 45 member 2)	SLC45A2 AIM1 MATP	SLC45A2	AIM1 MATP			Homo sapiens (Human)
Q9UMX3	Q9UMX3	BOK_HUMAN	Bcl-2-related ovarian killer protein (hBOK) (Bcl-2-like protein 9) (Bcl2-L-9)	BOK BCL2L9	BOK	BCL2L9			Homo sapiens (Human)
Q9UMX2	Q9UMX2	OAZ3_HUMAN	Ornithine decarboxylase antizyme 3 (AZ3) (ODC-Az 3)	OAZ3	OAZ3				Homo sapiens (Human)
Q9UMX1	Q9UMX1	SUFU_HUMAN	Suppressor of fused homolog (SUFUH)	SUFU UNQ650/PRO1280	SUFU			UNQ650/PRO1280	Homo sapiens (Human)
Q9UMR3	Q9UMR3	TBX20_HUMAN	T-box transcription factor TBX20 (T-box protein 20)	TBX20	TBX20				Homo sapiens (Human)
Q9UMR2	Q9UMR2	DD19B_HUMAN	ATP-dependent RNA helicase DDX19B (EC 3.6.4.13) (DEAD box RNA helicase DEAD5) (DEAD box protein 19B)	DDX19B DBP5 DDX19 TDBP	DDX19B	DBP5 DDX19 TDBP			Homo sapiens (Human)
Q9UMD9	Q9UMD9	COHA1_HUMAN	Collagen alpha-1(XVII) chain (180 kDa bullous pemphigoid antigen 2) (Bullous pemphigoid antigen 2) [Cleaved into: 120 kDa linear IgA disease antigen (120 kDa linear IgA dermatosis antigen) (Linear IgA disease antigen 1) (LAD-1); 97 kDa linear IgA disease antigen (97 kDa linear IgA bullous dermatosis antigen) (97 kDa LAD antigen) (97-LAD) (Linear IgA bullous disease antigen of 97 kDa) (LABD97)]	COL17A1 BP180 BPAG2	COL17A1	BP180 BPAG2			Homo sapiens (Human)
Q9UM22	Q9UM22	EPDR1_HUMAN	Mammalian ependymin-related protein 1 (MERP-1) (Upregulated in colorectal cancer gene 1 protein)	EPDR1 MERP1 UCC1	EPDR1	MERP1 UCC1			Homo sapiens (Human)
Q9UM11	Q9UM11	FZR1_HUMAN	Fizzy-related protein homolog (Fzr) (CDC20-like protein 1) (Cdh1/Hct1 homolog) (hCDH1)	FZR1 CDH1 FYR FZR KIAA1242	FZR1	CDH1 FYR FZR KIAA1242			Homo sapiens (Human)
Q9UM07	Q9UM07	PADI4_HUMAN	Protein-arginine deiminase type-4 (EC 3.5.3.15) (HL-60 PAD) (Peptidylarginine deiminase IV) (Protein-arginine deiminase type IV)	PADI4 PAD4 PADI5 PDI5	PADI4	PAD4 PADI5 PDI5			Homo sapiens (Human)
Q9ULZ3	Q9ULZ3	ASC_HUMAN	Apoptosis-associated speck-like protein containing a CARD (hASC) (Caspase recruitment domain-containing protein 5) (PYD and CARD domain-containing protein) (Target of methylation-induced silencing 1)	PYCARD ASC CARD5 TMS1	PYCARD	ASC CARD5 TMS1			Homo sapiens (Human)
Q9ULX9	Q9ULX9	MAFF_HUMAN	Transcription factor MafF (U-Maf) (V-maf musculoaponeurotic fibrosarcoma oncogene homolog F)	MAFF	MAFF				Homo sapiens (Human)
Q9ULX5	Q9ULX5	RN112_HUMAN	RING finger protein 112 (Brain finger protein) (Zinc finger protein 179)	RNF112 BFP ZNF179	RNF112	BFP ZNF179			Homo sapiens (Human)
Q9ULX3	Q9ULX3	NOB1_HUMAN	RNA-binding protein NOB1 (Phosphorylation regulatory protein HP-10) (Protein ART-4)	NOB1 ART4 NOB1P PSMD8BP1 MSTP158	NOB1	ART4 NOB1P PSMD8BP1		MSTP158	Homo sapiens (Human)
Q9ULW8	Q9ULW8	PADI3_HUMAN	Protein-arginine deiminase type-3 (EC 3.5.3.15) (Peptidylarginine deiminase III) (Protein-arginine deiminase type III)	PADI3 PAD3 PDI3	PADI3	PAD3 PDI3			Homo sapiens (Human)
Q9ULW6	Q9ULW6	NP1L2_HUMAN	Nucleosome assembly protein 1-like 2 (Brain-specific protein, X-linked)	NAP1L2 BPX	NAP1L2	BPX			Homo sapiens (Human)
Q9ULW5	Q9ULW5	RAB26_HUMAN	Ras-related protein Rab-26	RAB26	RAB26				Homo sapiens (Human)
Q9ULW2	Q9ULW2	FZD10_HUMAN	Frizzled-10 (Fz-10) (hFz10) (FzE7) (CD antigen CD350)	FZD10	FZD10				Homo sapiens (Human)
Q9ULW0	Q9ULW0	TPX2_HUMAN	Targeting protein for Xklp2 (Differentially expressed in cancerous and non-cancerous lung cells 2) (DIL-2) (Hepatocellular carcinoma-associated antigen 519) (Hepatocellular carcinoma-associated antigen 90) (Protein fls353) (Restricted expression proliferation-associated protein 100) (p100)	TPX2 C20orf1 C20orf2 DIL2 HCA519	TPX2	C20orf1 C20orf2 DIL2 HCA519			Homo sapiens (Human)
Q9ULV8	Q9ULV8	CBLC_HUMAN	E3 ubiquitin-protein ligase CBL-C (EC 2.3.2.27) (RING finger protein 57) (RING-type E3 ubiquitin transferase CBL-C) (SH3-binding protein CBL-3) (SH3-binding protein CBL-C) (Signal transduction protein CBL-C)	CBLC CBL3 RNF57	CBLC	CBL3 RNF57			Homo sapiens (Human)
Q9ULV4	Q9ULV4	COR1C_HUMAN	Coronin-1C (Coronin-3) (hCRNN4)	CORO1C CRN2 CRNN4	CORO1C	CRN2 CRNN4			Homo sapiens (Human)
Q9ULR3	Q9ULR3	PPM1H_HUMAN	Protein phosphatase 1H (EC 3.1.3.16)	PPM1H ARHCL1 KIAA1157 URCC2	PPM1H	ARHCL1 KIAA1157 URCC2			Homo sapiens (Human)
Q9ULQ1	Q9ULQ1	TPC1_HUMAN	Two pore calcium channel protein 1 (Voltage-dependent calcium channel protein TPC1)	TPCN1 KIAA1169 TPC1	TPCN1	KIAA1169 TPC1			Homo sapiens (Human)
Q9ULM6	Q9ULM6	CNOT6_HUMAN	CCR4-NOT transcription complex subunit 6 (EC 3.1.13.4) (CCR4 carbon catabolite repression 4-like) (Carbon catabolite repressor protein 4 homolog) (Cytoplasmic deadenylase)	CNOT6 CCR4 CCR4a KIAA1194	CNOT6	CCR4 CCR4a KIAA1194			Homo sapiens (Human)
Q9ULM2	Q9ULM2	ZN490_HUMAN	Zinc finger protein 490	ZNF490 KIAA1198	ZNF490	KIAA1198			Homo sapiens (Human)
Q9ULL4	Q9ULL4	PLXB3_HUMAN	Plexin-B3	PLXNB3 KIAA1206 PLXN6	PLXNB3	KIAA1206 PLXN6			Homo sapiens (Human)
Q9ULK5	Q9ULK5	VANG2_HUMAN	Vang-like protein 2 (Loop-tail protein 1 homolog) (Strabismus 1) (Van Gogh-like protein 2)	VANGL2 KIAA1215 STB1	VANGL2	KIAA1215 STB1			Homo sapiens (Human)
